identifier,extension,extension_type,tagnames
"archive-items","Articles - Archived","component","<ul>"
"area_categories","Other - List Search Results","component","<input>"
"area_contacts","Other - List Search Results","component","<input>"
"area_content","Other - List Search Results","component","<input>"
"area_newsfeeds","Other - List Search Results","component","<input>"
"area_weblinks","Other - List Search Results","component","<input>"
"basic-details","Contact - Single","component","<h3>"
"blockrandom","Wrapper","module","<iframe>"
"blockrandom","Wrapper - iframe Wrapper","component","<iframe>"
"contact-slider","Contact - Single","component","<div>"
"current","Menu","module","<li>"
"display-links","Contact - Single","component","<h3>"
"display-misc","Contact - Single","component","<h3>"
"filter-search","Articles - Archived","component","<input>"
"filter-search","Articles - Category List","component","<input>"
"form-login-password","Login","module","<p>"
"form-login-remember","Login","module","<p>"
"form-login-username","Login","module","<p>"
"jForm","Articles - Archived","component","<form>"
"jform_email","User Manager -Name Reminder","component","<input>"
"jform_email1","User Manager - Edit Profile","component","<input>"
"jform_email1","User Manager - Registraton","component","<input>"
"jform_email1-lbl","User Manager - Registraton","component","<label>"
"jform_email1-lbl","User Manager - Edit Profile","component","<label>"
"jform_email2","User Manager - Edit Profile","component","<input>"
"jform_email2","User Manager - Registraton","component","<input>"
"jform_email2-lbl","User Manager - Edit Profile","component","<label>"
"jform_email2-lbl","User Manager - Registraton","component","<label>"
"jform_email-lbl","User Manager -Name Reminder","component","<label>"
"jform_id","User Manager - Edit Profile","component","<input>"
"jform_name","User Manager - Registraton","component","<input>"
"jform_name","User Manager - Edit Profile","component","<input>"
"jform_name-lbl","User Manager - Registraton","component","<label>"
"jform_name-lbl","User Manager - Edit Profile","component","<label>"
"jform_password1","User Manager - Edit Profile","component","<input>"
"jform_password1","User Manager - Registraton","component","<input>"
"jform_password1-lbl","User Manager - Edit Profile","component","<label>"
"jform_password1-lbl","User Manager - Registraton","component","<label>"
"jform_password2","User Manager - Edit Profile","component","<input>"
"jform_password2","User Manager - Registraton","component","<input>"
"jform_password2-lbl","User Manager - Edit Profile","component","<label>"
"jform_password2-lbl","User Manager - Registraton","component","<label>"
"jform_username","User Manager - Edit Profile","component","<input>"
"jform_username","User Manager - PW Reset","component","<input>"
"jform_username","User Manager - Registraton","component","<input>"
"jform_username-lbl","User Manager - Edit Profile","component","<label>"
"jform_username-lbl","User Manager - PW Reset","component","<label>"
"jform_username-lbl","User Manager - Registraton","component","<label>"
"limit","Articles - Archived","component","<select>"
"limit","Articles - Category List","component","<select>"
"limit","News Feed - List in a Category","component","<select>"
"member-profile","User Manager - Edit Profile","component","<form>"
"member-registration","User Manager - Registraton","component","<form>"
"mod_search_searchword","Search","module","<input>"
"modlgn_passwd","Login","module","<input>"
"modlgn_remember","Login","module","<input>"
"modlgn_username","Login","module","<input>"
"month","Articles - Archived","component","<select>"
"navigation","Articles - Archived","component","<div>"
"ordering","Other - List Search Results","component","<select>"
"password","User Manager - Login","component","<input>"
"password-lbl","User Manager - Login","component","<label>"
"search_searchword","Other - List Search Results","component","<input>"
"searchForm","Other - List Search Results","component","<form>"
"searchphraseall","Other - List Search Results","component","<input>"
"searchphraseall-lbl","Other - List Search Results","component","<label>"
"searchphraseany","Other - List Search Results","component","<input>"
"searchphraseany-lbl","Other - List Search Results","component","<label>"
"searchphraseexact","Other - List Search Results","component","<input>"
"searchphraseexact-lbl","Other - List Search Results","component","<label>"
"tableOrdering","Articles - Category List","component","<th>"
"tableOrdering","News Feed - List in a Category","component","<th>"
"tableOrdering2","Articles - Category List","component","<th>"
"tableOrdering2","News Feed - List in a Category","component","<th>"
"tableOrdering3","Articles - Category List","component","<th>"
"tableOrdering3","News Feed - List in a Category","component","<th>"
"tableOrdering4","Articles - Category List","component","<th>"
"username","User Manager - Login","component","<input>"
"username-lbl","User Manager - Login","component","<label>"
"user-registration","User Manager - PW Reset","component","<form>"
"user-registration","User Manager -Name Reminder","component","<form>"
"users-profile-core","User Manager - View Profile","component","<fieldset>"
"users-profile-custom","User Manager - View Profile","component","<fieldset>"
"year","Articles - Archived","component","<select>"
